,id0,id1,points_0,points_1
0,Clemson,Virginia Tech,38,17
0,Iowa State,Oklahoma State,10,31
0,Ohio State,Purdue,29,22
0,Minnesota,Wisconsin,13,38
0,Akron,N. Illinois,7,37
0,Auburn,Vanderbilt,13,17
0,Virginia,Wake Forest,10,16
0,Army,E. Michigan,38,48
0,FIU,Troy,37,38
0,California,Stanford,3,21
0,Boston College,Georgia Tech,17,37
0,New Mexico State,Utah State,7,41
0,Florida,South Carolina,44,11
0,BYU,Notre Dame,14,17
0,Louisville,South Florida,27,25
0,TCU,Texas Tech,53,56
0,Boise State,UNLV,32,7
0,Nebraska,Northwestern,29,28
0,Maryland,N.C. State,18,20
0,Michigan,Michigan State,12,10
0,Rice,Tulsa,24,28
0,Buffalo,Pittsburgh,6,20
0,Ball State,C. Michigan,41,30
0,Kent State,W. Michigan,41,24
0,Indiana,Navy,30,31
0,La.-Monroe,W. Kentucky,43,42
0,Colorado,Southern Cal,6,50
0,Alabama,Tennessee,44,13
0,Kansas State,West Virginia,55,14
0,Kansas,Oklahoma,7,52
0,Georgia,Kentucky,29,24
0,MTSU,Mississippi State,3,45
0,Cincinnati,Toledo,23,29
0,East Carolina,UAB,42,35
0,Duke,North Carolina,33,30
0,Air Force,New Mexico,28,23
0,Idaho,La. Tech,28,70
0,Marshall,Southern Miss,59,24
0,Florida State,"Miami, FL",33,20
0,Baylor,Texas,50,56
0,Memphis,UCF,17,35
0,Iowa,Penn State,14,38
0,Tulane,UTEP,20,24
0,Arizona,Washington,52,17
0,Oregon State,Utah,21,7
0,Fresno State,Wyoming,42,14
0,Nevada,San Diego State,38,39
0,Arkansas State,La.-Lafayette,50,27
0,Clemson,Wake Forest,42,13
0,Cincinnati,Louisville,31,34
0,Air Force,Nevada,48,31
0,South Carolina,Tennessee,38,35
0,Kansas,Texas,17,21
0,Iowa,Northwestern,17,28
0,Kentucky,Missouri,10,33
0,Pittsburgh,Temple,47,17
0,Army,Ball State,22,30
0,Illinois,Indiana,17,31
0,N. Illinois,W. Michigan,48,34
0,Arkansas,Mississippi,27,30
0,N.C. State,North Carolina,35,43
0,Boston College,Maryland,20,17
