,id0,id1,points_0,points_1,spread,over_under
0,LSU,South Carolina,45,24,20.5,None
0,Alabama,Arkansas,27,14,15.5,None
0,Oklahoma,Texas,17,24,-16.0,None
0,Florida,Missouri,21,3,6.5,None
0,Florida State,"Miami, FL",29,24,6.5,None
0,Michigan,Northwestern,38,0,10.0,None
0,Mississippi,New Mexico State,52,3,45.5,None
0,Navy,Notre Dame,24,41,14.0,None
0,Georgia,Tennessee,31,38,-2.5,None
0,Oklahoma State,West Virginia,33,26,-5.0,None
0,Illinois,Iowa,20,29,10.5,None
0,Kent State,Toledo,7,38,16.5,None
0,Boise State,Colorado State,41,10,15.5,None
0,Army,Duke,3,44,13.5,None
0,FIU,UTEP,52,12,14.0,None
0,MTSU,W. Kentucky,28,58,7.0,None
0,Indiana,Penn State,7,29,4.5,None
0,Temple,Tulane,49,10,14.5,None
0,C. Michigan,W. Michigan,39,41,5.0,None
0,Pittsburgh,Virginia,26,19,8.0,None
0,"Miami, OH",Ohio,3,34,15.5,None
0,Bowling Green,Massachusetts,62,38,12.0,None
0,FAU,Rice,26,27,-3.5,None
0,Boston College,Wake Forest,0,3,-9.5,None
0,Akron,E. Michigan,47,21,8.5,None
0,Appalachian State,Georgia State,37,3,14.5,None
0,Ball State,N. Illinois,41,59,10.5,None
0,South Florida,Syracuse,45,24,1.5,None
0,Nebraska,Wisconsin,21,23,2.5,None
0,Minnesota,Purdue,41,13,3.5,None
0,Iowa State,Texas Tech,31,66,13.0,None
0,Connecticut,UCF,40,13,1.0,None
0,Arizona,Oregon State,44,7,8.5,None
0,Mississippi State,Troy,45,17,31.5,None
0,Oregon,Washington State,38,45,-16.0,None
0,La.-Monroe,Tulsa,24,34,10.0,None
0,La.-Lafayette,Texas State,49,27,4.0,None
0,Nevada,New Mexico,35,17,4.0,None
0,La. Tech,UTSA,34,31,13.0,None
0,BYU,East Carolina,45,38,10.0,None
0,San Jose State,UNLV,33,27,3.5,None
0,Arizona State,Colorado,48,23,16.5,None
0,Air Force,Wyoming,31,17,21.0,None
0,Fresno State,Utah State,14,56,13.0,None
0,Hawaii,San Diego State,14,28,-0.0,None
0,Arkansas State,South Alabama,49,31,3.5,None
0,Stanford,UCLA,56,35,6.5,None
0,Auburn,Kentucky,30,27,2.0,None
0,North Texas,W. Kentucky,28,55,34.5,None
0,Boise State,Utah State,26,52,-7.5,None
0,Houston,Tulane,42,7,21.0,None
0,BYU,Cincinnati,38,24,4.5,None
0,Fresno State,UNLV,31,28,-5.5,None
0,Ohio State,Penn State,38,10,18.5,None
0,Baylor,West Virginia,62,38,20.5,None
0,Iowa State,TCU,24,45,21.0,None
0,Arizona State,Utah,18,34,4.5,None
0,Boston College,Clemson,17,34,18.0,None
0,Florida,LSU,28,35,6.5,None
0,Michigan,Michigan State,23,27,-7.0,None
0,Alabama,Texas A&M,41,23,5.0,None
0,Florida State,Louisville,41,21,6.5,None
0,Memphis,Mississippi,37,24,-10.5,None
0,Notre Dame,Southern Cal,41,31,6.0,None
0,Iowa,Northwestern,40,10,1.5,None
0,Kansas State,Oklahoma,0,55,4.0,None
0,E. Michigan,Toledo,20,63,28.5,None
0,Ohio,W. Michigan,14,49,-3.5,None
0,Connecticut,South Florida,20,28,-1.0,None
0,East Carolina,Tulsa,30,17,14.0,None
0,Purdue,Wisconsin,7,24,23.0,None
0,FAU,Marshall,17,33,3.5,None
0,FIU,MTSU,34,42,10.5,None
0,Kansas,Texas Tech,20,30,33.0,None
0,La. Tech,Mississippi State,20,45,11.0,None
0,Georgia Tech,Pittsburgh,28,31,-3.0,None
0,Buffalo,C. Michigan,14,51,6.5,None
0,"Miami, OH",N. Illinois,12,45,18.0,None
0,Akron,Bowling Green,10,59,12.5,None
0,Ball State,Georgia State,19,31,-14.0,None
0,Kent State,Massachusetts,15,10,-7.0,None
0,Air Force,Colorado State,23,38,-3.5,None
0,Idaho,Troy,19,16,-9.5,None
0,"Miami, FL",Virginia Tech,30,20,3.0,None
0,Syracuse,Virginia,38,44,7.0,None
0,Indiana,Rutgers,52,55,-6.5,None
0,Minnesota,Nebraska,25,48,-1.0,None
0,South Carolina,Vanderbilt,19,10,1.5,None
0,Oregon State,Washington State,31,52,8.0,None
0,Nevada,Wyoming,21,28,-6.0,None
0,Georgia Southern,New Mexico State,56,26,31.0,None
0,Appalachian State,La.-Monroe,59,14,14.0,None
0,Hawaii,New Mexico,27,28,4.0,None
0,North Carolina,Wake Forest,50,14,17.0,None
0,Southern Miss,UTSA,32,10,8.0,None
0,Temple,UCF,30,16,20.0,None
0,Georgia,Missouri,9,6,15.5,None
0,Arizona,Colorado,38,31,6.0,None
0,Oregon,Washington,26,20,-3.0,None
0,San Diego State,San Jose State,30,7,-2.5,None
0,Arkansas State,La.-Lafayette,37,27,6.5,None
0,California,UCLA,24,40,3.5,None
0,East Carolina,Temple,14,24,-3.0,None
0,Appalachian State,Georgia Southern,31,13,6.5,None
0,Memphis,Tulsa,66,42,9.5,None
0,San Diego State,Utah State,48,14,-4.0,None
0,Ohio State,Rutgers,49,7,23.0,None
0,Baylor,Iowa State,45,27,36.0,None
0,Southern Cal,Utah,42,24,5.5,None
0,LSU,W. Kentucky,48,20,15.5,None
0,Clemson,"Miami, FL",58,0,7.5,None
0,Indiana,Michigan State,26,52,14.5,None
0,Alabama,Tennessee,19,14,14.5,None
0,Florida State,Georgia Tech,16,22,-6.0,None
0,Stanford,Washington,31,14,14.5,None
0,Kansas,Oklahoma State,10,58,33.5,None
0,Mississippi,Texas A&M,23,3,6.0,None
0,Oklahoma,Texas Tech,63,27,14.5,None
0,Massachusetts,Toledo,35,51,14.5,None
0,Houston,UCF,59,10,21.0,None
0,Duke,Virginia Tech,45,43,-3.5,None
0,Pittsburgh,Syracuse,23,20,8.0,None
0,Kansas State,Texas,9,23,7.0,None
0,N.C. State,Wake Forest,35,17,8.0,None
0,Nebraska,Northwestern,28,30,-7.0,None
0,Army,Rice,31,38,7.0,None
