,id0,id1,points_0,points_1
0,La. Tech,Utah State,24.0,17.0
0,Auburn,LSU,10.0,45.0
0,Air Force,Boise State,26.0,37.0
0,Colorado,Oregon,2.0,45.0
0,Minnesota,Nebraska,14.0,41.0
0,Iowa State,Texas A&M,17.0,33.0
0,Georgia Tech,"Miami, FL",7.0,24.0
0,Florida State,Maryland,41.0,16.0
0,Bowling Green,Temple,13.0,10.0
0,N.C. State,Virginia,28.0,14.0
0,Akron,Ohio,20.0,37.0
0,East Carolina,Navy,38.0,35.0
0,Memphis,Tulane,33.0,17.0
0,La.-Lafayette,W. Kentucky,23.0,42.0
0,Fresno State,Nevada,38.0,45.0
0,Houston,Marshall,63.0,28.0
0,La.-Monroe,North Texas,21.0,38.0
0,Northwestern,Penn State,24.0,34.0
0,California,Utah,34.0,10.0
0,Army,Vanderbilt,21.0,44.0
0,Rice,Tulsa,20.0,38.0
0,"Miami, OH",Toledo,28.0,49.0
0,Alabama,Tennessee,37.0,6.0
0,Notre Dame,Southern Cal,17.0,31.0
0,Oklahoma,Texas Tech,38.0,41.0
0,Michigan State,Wisconsin,37.0,31.0
0,Stanford,Washington,65.0,21.0
0,Florida Atlantic,MTSU,14.0,38.0
0,SMU,Southern Miss,3.0,27.0
0,Colorado State,UTEP,17.0,31.0
0,Oregon State,Washington State,44.0,21.0
0,Hawaii,New Mexico State,45.0,34.0
0,FIU,Troy,23.0,20.0
0,Connecticut,Pittsburgh,20.0,35.0
0,Houston,Rice,73.0,34.0
0,"Miami, FL",Virginia,21.0,28.0
0,BYU,TCU,28.0,38.0
0,Michigan State,Nebraska,3.0,24.0
0,Missouri,Texas A&M,38.0,31.0
0,Michigan,Purdue,36.0,14.0
0,Florida State,N.C. State,34.0,0.0
0,Indiana,Northwestern,38.0,59.0
0,Louisville,Syracuse,27.0,10.0
0,Marshall,UAB,59.0,14.0
0,Akron,C. Michigan,22.0,23.0
0,Arkansas,Vanderbilt,31.0,28.0
0,Duke,Virginia Tech,10.0,14.0
0,Bowling Green,Kent State,15.0,27.0
0,Air Force,New Mexico,42.0,0.0
0,Ball State,W. Michigan,35.0,45.0
0,Oregon,Washington State,43.0,28.0
0,Boston College,Maryland,28.0,17.0
0,Baylor,Oklahoma State,24.0,59.0
0,Kansas State,Oklahoma,17.0,58.0
0,Illinois,Penn State,7.0,10.0
0,Florida,Georgia,20.0,24.0
0,Rutgers,West Virginia,31.0,41.0
0,Navy,Notre Dame,14.0,56.0
0,Iowa,Minnesota,21.0,22.0
0,East Carolina,Tulane,34.0,13.0
0,North Carolina,Wake Forest,49.0,24.0
0,Buffalo,"Miami, OH",13.0,41.0
0,SMU,Tulsa,7.0,38.0
0,La.-Monroe,W. Kentucky,28.0,31.0
0,Memphis,UCF,0.0,41.0
0,La. Tech,San Jose State,38.0,28.0
0,Hawaii,Idaho,16.0,14.0
0,Colorado State,UNLV,35.0,38.0
0,Arizona State,Colorado,48.0,14.0
0,Iowa State,Texas Tech,20.0,7.0
0,Auburn,Mississippi,41.0,23.0
0,Kansas,Texas,0.0,43.0
0,California,UCLA,14.0,31.0
0,Kentucky,Mississippi State,16.0,28.0
0,Oregon State,Utah,8.0,27.0
0,Arkansas State,North Texas,37.0,14.0
0,South Carolina,Tennessee,14.0,3.0
0,La.-Lafayette,MTSU,45.0,20.0
0,Clemson,Georgia Tech,17.0,31.0
0,Southern Cal,Stanford,48.0,56.0
0,Ohio State,Wisconsin,33.0,29.0
0,Nevada,New Mexico State,48.0,34.0
0,Southern Miss,UTEP,31.0,13.0
0,San Diego State,Wyoming,27.0,30.0
0,Arizona,Washington,31.0,42.0
0,N. Illinois,Toledo,63.0,60.0
0,Ohio,Temple,35.0,31.0
0,Akron,"Miami, OH",3.0,35.0
0,Boston College,Florida State,7.0,38.0
0,Tulsa,UCF,24.0,17.0
0,C. Michigan,Kent State,21.0,24.0
0,Colorado,Southern Cal,17.0,42.0
0,Iowa,Michigan,24.0,16.0
0,Michigan State,Minnesota,31.0,24.0
0,Texas,Texas Tech,52.0,20.0
0,Louisville,West Virginia,38.0,35.0
0,Connecticut,Syracuse,28.0,21.0
0,Indiana,Ohio State,20.0,34.0
0,Ball State,E. Michigan,33.0,31.0
0,Florida,Vanderbilt,26.0,21.0
0,Georgia,New Mexico State,63.0,16.0
0,Iowa State,Kansas,13.0,10.0
0,Maryland,Virginia,13.0,31.0
0,N.C. State,North Carolina,13.0,0.0
0,TCU,Wyoming,31.0,13.0
0,Duke,"Miami, FL",14.0,49.0
0,SMU,Tulane,45.0,24.0
0,Oregon State,Stanford,13.0,38.0
0,Oklahoma,Texas A&M,41.0,25.0
0,Nebraska,Northwestern,25.0,28.0
0,Purdue,Wisconsin,17.0,62.0
0,Kentucky,Mississippi,30.0,13.0
0,Rice,UTEP,41.0,37.0
0,La.-Lafayette,La.-Monroe,36.0,35.0
0,Air Force,Army,24.0,14.0
0,Navy,Troy,42.0,14.0
0,East Carolina,Southern Miss,28.0,48.0
0,Idaho,San Jose State,32.0,29.0
0,FIU,W. Kentucky,9.0,10.0
0,Arkansas State,Florida Atlantic,39.0,21.0
0,California,Washington State,30.0,7.0
0,Houston,UAB,56.0,13.0
0,Arizona,Utah,21.0,34.0
0,Rutgers,South Florida,20.0,17.0
0,Cincinnati,Pittsburgh,26.0,23.0
0,Baylor,Missouri,42.0,39.0
0,MTSU,Tennessee,0.0,24.0
0,Arkansas,South Carolina,44.0,28.0
0,Arizona State,UCLA,28.0,29.0
0,Alabama,LSU,6.0,9.0
0,Kansas State,Oklahoma State,45.0,52.0
0,New Mexico,San Diego State,7.0,35.0
0,Notre Dame,Wake Forest,24.0,17.0
0,Boise State,UNLV,48.0,21.0
0,Oregon,Washington,34.0,17.0
0,Fresno State,La. Tech,21.0,41.0
0,Bowling Green,N. Illinois,14.0,45.0
0,Toledo,W. Michigan,66.0,63.0
0,"Miami, OH",Temple,21.0,24.0
0,C. Michigan,Ohio,28.0,43.0
0,Georgia Tech,Virginia Tech,26.0,37.0
0,Houston,Tulane,73.0,17.0
0,South Florida,Syracuse,37.0,17.0
0,Oklahoma State,Texas Tech,66.0,6.0
0,Clemson,Wake Forest,31.0,28.0
0,Nebraska,Penn State,17.0,14.0
0,Florida,South Carolina,12.0,17.0
0,Missouri,Texas,17.0,5.0
0,Cincinnati,West Virginia,21.0,24.0
0,Northwestern,Rice,28.0,6.0
0,Louisville,Pittsburgh,14.0,21.0
0,Marshall,Tulsa,17.0,59.0
0,Ohio State,Purdue,23.0,26.0
0,Kentucky,Vanderbilt,8.0,38.0
0,Boston College,N.C. State,14.0,10.0
0,Buffalo,E. Michigan,17.0,30.0
0,North Texas,Troy,38.0,33.0
0,Baylor,Kansas,31.0,30.0
0,Air Force,Wyoming,17.0,25.0
0,Akron,Kent State,3.0,35.0
0,Arizona,Colorado,29.0,48.0
0,Duke,Virginia,21.0,31.0
0,San Jose State,Utah State,33.0,34.0
0,Arkansas State,La.-Lafayette,30.0,21.0
0,Boise State,TCU,35.0,36.0
0,Kansas State,Texas A&M,53.0,50.0
0,Auburn,Georgia,7.0,45.0
0,Minnesota,Wisconsin,13.0,42.0
0,Illinois,Michigan,14.0,31.0
0,Florida State,"Miami, FL",23.0,19.0
0,Army,Rutgers,12.0,27.0
0,La.-Monroe,MTSU,42.0,14.0
0,Navy,SMU,24.0,17.0
0,Southern Cal,Washington,40.0,17.0
0,Memphis,UAB,35.0,41.0
0,Arkansas,Tennessee,49.0,7.0
0,Colorado State,San Diego State,15.0,18.0
0,FIU,Florida Atlantic,41.0,7.0
0,California,Oregon State,23.0,6.0
0,UCLA,Utah,6.0,31.0
0,LSU,W. Kentucky,42.0,9.0
0,Maryland,Notre Dame,21.0,45.0
0,La. Tech,Mississippi,27.0,7.0
