,id0,id1,points_0,points_1
0,Colorado,Stanford,10.0,5.0
0,Appalachian State,Idaho,37.0,19.0
0,Buffalo,N. Illinois,7.0,44.0
0,Tulane,Tulsa,27.0,50.0
0,MTSU,Missouri,51.0,45.0
0,Colorado State,UNLV,42.0,23.0
0,Charlotte,Marshall,27.0,27.0
0,FIU,La. Tech,24.0,44.0
0,Old Dominion,W. Kentucky,24.0,59.0
0,UTEP,UTSA,52.0,49.0
0,Cincinnati,East Carolina,31.0,19.0
0,La.-Lafayette,Texas State,27.0,3.0
0,Maryland,Michigan State,28.0,17.0
0,Kentucky,Mississippi State,40.0,38.0
0,Georgia Southern,New Mexico State,22.0,19.0
0,La.-Monroe,New Mexico,17.0,59.0
0,Arizona State,Washington State,32.0,37.0
0,Fresno State,Utah State,20.0,38.0
0,Nevada,Wyoming,34.0,42.0
0,Pittsburgh,Virginia Tech,36.0,39.0
0,Akron,Buffalo,20.0,41.0
0,Ohio,Toledo,31.0,26.0
0,Appalachian State,Georgia Southern,34.0,10.0
0,California,Southern Cal,24.0,45.0
0,Navy,South Florida,45.0,52.0
0,San Diego State,Utah State,40.0,13.0
0,Air Force,Fresno State,31.0,21.0
0,Michigan,Michigan State,32.0,23.0
0,Louisville,Virginia,32.0,25.0
0,Oklahoma State,West Virginia,37.0,20.0
0,Clemson,Florida State,37.0,34.0
0,Utah,Washington,17.0,31.0
0,Northwestern,Ohio State,20.0,24.0
0,Nebraska,Wisconsin,17.0,23.0
0,Baylor,Texas,34.0,35.0
0,New Mexico State,Texas A&M,10.0,52.0
0,Boise State,Wyoming,28.0,30.0
0,Florida ,Georgia ,24.0,10.0
0,Auburn,Mississippi,40.0,29.0
0,Kansas,Oklahoma,3.0,56.0
0,South Carolina,Tennessee,28.0,21.0
0,Penn State,Purdue,62.0,24.0
0,Kentucky,Missouri,35.0,21.0
0,Houston,UCF,31.0,24.0
0,Connecticut,East Carolina,3.0,41.0
0,Duke,Georgia Tech,35.0,38.0
0,C. Michigan,Kent State,24.0,27.0
0,Iowa State,Kansas State,26.0,31.0
0,Illinois,Minnesota,17.0,40.0
0,Boston College,N.C. State,21.0,14.0
0,Cincinnati,Temple,13.0,34.0
0,FAU,W. Kentucky,3.0,52.0
0,Army,Wake Forest,21.0,13.0
0,"Miami, FL",Notre Dame,27.0,30.0
0,Indiana,Maryland,42.0,36.0
0,TCU,Texas Tech,24.0,27.0
0,E. Michigan,"Miami, OH",15.0,28.0
0,SMU,Tulane,35.0,31.0
0,Georgia State,South Alabama,10.0,13.0
0,Arizona State,Oregon  ,35.0,54.0
0,La. Tech,Rice,61.0,16.0
0,Marshall,Southern Miss,14.0,24.0
0,North Texas,UTSA,17.0,31.0
0,FIU,MTSU,35.0,42.0
0,Arkansas State,La.-Monroe,51.0,10.0
0,Old Dominion,UTEP,31.0,21.0
0,Memphis,Tulsa,30.0,59.0
0,San Jose State,UNLV,30.0,24.0
0,Oregon State,Washington State,31.0,35.0
0,Arizona,Stanford,10.0,34.0
0,Hawaii,New Mexico,21.0,28.0
0,Ball State,W. Michigan,20.0,52.0
0,Bowling Green,N. Illinois,20.0,45.0
